LAUS,state,county,County Name/State Abbreviation,Year,force,employed,unemployed,unemployment
CN0607700000000,6,77,"San Joaquin County, CA",2015,314401,286281,28120,8.9
CN0607900000000,6,79,"San Luis Obispo County, CA",2015,138913,132302,6611,4.8
CN0608100000000,6,81,"San Mateo County, CA",2015,434234,419310,14924,3.4
CN0608300000000,6,83,"Santa Barbara County, CA",2015,217158,205591,11567,5.3
CN0608500000000,6,85,"Santa Clara County, CA",2015,1012215,969950,42265,4.2
CN0608700000000,6,87,"Santa Cruz County, CA",2015,143227,132434,10793,7.5
CN0608900000000,6,89,"Shasta County, CA",2015,74122,68325,5797,7.8
CN0609100000000,6,91,"Sierra County, CA",2015,1362,1242,120,8.8
CN0609300000000,6,93,"Siskiyou County, CA",2015,17884,16199,1685,9.4
CN0609500000000,6,95,"Solano County, CA",2015,204869,192237,12632,6.2
CN0609700000000,6,97,"Sonoma County, CA",2015,257659,246028,11631,4.5
CN0609900000000,6,99,"Stanislaus County, CA",2015,240986,217971,23015,9.6
CN0610100000000,6,101,"Sutter County, CA",2015,44734,39925,4809,10.8
CN0610300000000,6,103,"Tehama County, CA",2015,25019,23029,1990,8
CN0610500000000,6,105,"Trinity County, CA",2015,5141,4739,402,7.8
CN0610700000000,6,107,"Tulare County, CA",2015,202126,178491,23635,11.7
CN0610900000000,6,109,"Tuolumne County, CA",2015,21532,20005,1527,7.1
CN0611100000000,6,111,"Ventura County, CA",2015,427235,402977,24258,5.7
CN0611300000000,6,113,"Yolo County, CA",2015,104154,97384,6770,6.5
CN0611500000000,6,115,"Yuba County, CA",2015,27726,25135,2591,9.3
CN0800100000000,8,1,"Adams County, CO",2015,247743,237372,10371,4.2
CN0800300000000,8,3,"Alamosa County, CO",2015,7648,7267,381,5
CN0800500000000,8,5,"Arapahoe County, CO",2015,334380,322380,12000,3.6
CN0800700000000,8,7,"Archuleta County, CO",2015,6011,5777,234,3.9
CN0800900000000,8,9,"Baca County, CO",2015,1971,1932,39,2
CN0801100000000,8,11,"Bent County, CO",2015,1732,1666,66,3.8
CN0801300000000,8,13,"Boulder County, CO",2015,176818,171415,5403,3.1
CN0801400000000,8,14,"Broomfield County/city, CO",2015,35546,34415,1131,3.2
CN0801500000000,8,15,"Chaffee County, CO",2015,8494,8215,279,3.3
CN0801700000000,8,17,"Cheyenne County, CO",2015,1011,985,26,2.6
CN0801900000000,8,19,"Clear Creek County, CO",2015,5545,5349,196,3.5
CN0802100000000,8,21,"Conejos County, CO",2015,3596,3398,198,5.5
CN0802300000000,8,23,"Costilla County, CO",2015,1621,1521,100,6.2
CN0802500000000,8,25,"Crowley County, CO",2015,1353,1295,58,4.3
CN0802700000000,8,27,"Custer County, CO",2015,1988,1921,67,3.4
CN0802900000000,8,29,"Delta County, CO",2015,13432,12693,739,5.5
CN0803100000000,8,31,"Denver County/city, CO",2015,375631,362250,13381,3.6
CN0803300000000,8,33,"Dolores County, CO",2015,1323,1283,40,3
CN0803500000000,8,35,"Douglas County, CO",2015,172204,167066,5138,3
CN0803700000000,8,37,"Eagle County, CO",2015,32755,31765,990,3
CN0803900000000,8,39,"Elbert County, CO",2015,13264,12862,402,3
CN0804100000000,8,41,"El Paso County, CO",2015,307595,293988,13607,4.4
CN0804300000000,8,43,"Fremont County, CO",2015,14489,13627,862,5.9
CN0804500000000,8,45,"Garfield County, CO",2015,30462,29247,1215,4
CN0804700000000,8,47,"Gilpin County, CO",2015,3399,3297,102,3
CN0804900000000,8,49,"Grand County, CO",2015,9056,8775,281,3.1
CN0805100000000,8,51,"Gunnison County, CO",2015,9793,9515,278,2.8
CN0805300000000,8,53,"Hinsdale County, CO",2015,440,427,13,3
CN0805500000000,8,55,"Huerfano County, CO",2015,2366,2190,176,7.4
CN0805700000000,8,57,"Jackson County, CO",2015,834,804,30,3.6
CN0805900000000,8,59,"Jefferson County, CO",2015,308899,298400,10499,3.4
CN0806100000000,8,61,"Kiowa County, CO",2015,791,771,20,2.5
CN0806300000000,8,63,"Kit Carson County, CO",2015,4322,4222,100,2.3
CN0806500000000,8,65,"Lake County, CO",2015,4567,4397,170,3.7
CN0806700000000,8,67,"La Plata County, CO",2015,29862,28871,991,3.3
CN0806900000000,8,69,"Larimer County, CO",2015,180622,174867,5755,3.2
CN0807100000000,8,71,"Las Animas County, CO",2015,6124,5793,331,5.4
CN0807300000000,8,73,"Lincoln County, CO",2015,2169,2098,71,3.3
CN0807500000000,8,75,"Logan County, CO",2015,10935,10614,321,2.9
CN0807700000000,8,77,"Mesa County, CO",2015,71758,67929,3829,5.3
CN0807900000000,8,79,"Mineral County, CO",2015,444,429,15,3.4
CN0808100000000,8,81,"Moffat County, CO",2015,7104,6793,311,4.4
CN0808300000000,8,83,"Montezuma County, CO",2015,12330,11655,675,5.5
CN0808500000000,8,85,"Montrose County, CO",2015,19319,18379,940,4.9
CN0808700000000,8,87,"Morgan County, CO",2015,14669,14132,537,3.7
CN0808900000000,8,89,"Otero County, CO",2015,7877,7437,440,5.6
CN0809100000000,8,91,"Ouray County, CO",2015,2154,2064,90,4.2
CN0809300000000,8,93,"Park County, CO",2015,9370,9060,310,3.3
CN0809500000000,8,95,"Phillips County, CO",2015,2358,2304,54,2.3
CN0809700000000,8,97,"Pitkin County, CO",2015,10737,10337,400,3.7
CN0809900000000,8,99,"Prowers County, CO",2015,5812,5586,226,3.9
CN0810100000000,8,101,"Pueblo County, CO",2015,71657,67755,3902,5.4
CN0810300000000,8,103,"Rio Blanco County, CO",2015,2805,2663,142,5.1
CN0810500000000,8,105,"Rio Grande County, CO",2015,4861,4566,295,6.1
CN0810700000000,8,107,"Routt County, CO",2015,14282,13835,447,3.1
CN0810900000000,8,109,"Saguache County, CO",2015,3075,2893,182,5.9
CN0811100000000,8,111,"San Juan County, CO",2015,470,451,19,4
CN0811300000000,8,113,"San Miguel County, CO",2015,5073,4888,185,3.6
CN0811500000000,8,115,"Sedgwick County, CO",2015,1146,1109,37,3.2
CN0811700000000,8,117,"Summit County, CO",2015,20570,20070,500,2.4
CN0811900000000,8,119,"Teller County, CO",2015,11402,10912,490,4.3
CN0812100000000,8,121,"Washington County, CO",2015,2786,2717,69,2.5
CN0812300000000,8,123,"Weld County, CO",2015,147778,142298,5480,3.7
CN0812500000000,8,125,"Yuma County, CO",2015,5133,5004,129,2.5
CN0900100000000,9,1,"Fairfield County, CT",2015,478980,453717,25263,5.3
CN0900300000000,9,3,"Hartford County, CT",2015,474848,447512,27336,5.8
CN0900500000000,9,5,"Litchfield County, CT",2015,105269,99923,5346,5.1
CN0900700000000,9,7,"Middlesex County, CT",2015,92376,87904,4472,4.8
CN0900900000000,9,9,"New Haven County, CT",2015,456465,428595,27870,6.1
CN0901100000000,9,11,"New London County, CT",2015,136379,128425,7954,5.8
CN0901300000000,9,13,"Tolland County, CT",2015,85231,81082,4149,4.9
CN0901500000000,9,15,"Windham County, CT",2015,62540,58631,3909,6.3
CN1000100000000,10,1,"Kent County, DE",2015,75799,71772,4027,5.3
CN1000300000000,10,3,"New Castle County, DE",2015,289489,276051,13438,4.6
CN1000500000000,10,5,"Sussex County, DE",2015,97463,92732,4731,4.9
CN1100100000000,11,1,District of Columbia,2015,388446,361556,26890,6.9
CN1200100000000,12,1,"Alachua County, FL",2015,129993,123941,6052,4.7
CN1200300000000,12,3,"Baker County, FL",2015,11217,10584,633,5.6
CN1200500000000,12,5,"Bay County, FL",2015,87884,83026,4858,5.5
CN1200700000000,12,7,"Bradford County, FL",2015,10786,10260,526,4.9
CN1200900000000,12,9,"Brevard County, FL",2015,257457,241882,15575,6
CN1201100000000,12,11,"Broward County, FL",2015,992033,940668,51365,5.2
CN1201300000000,12,13,"Calhoun County, FL",2015,4960,4654,306,6.2
CN1201500000000,12,15,"Charlotte County, FL",2015,67928,63810,4118,6.1
CN1201700000000,12,17,"Citrus County, FL",2015,48006,44364,3642,7.6
CN1201900000000,12,19,"Clay County, FL",2015,98837,93804,5033,5.1
CN1202100000000,12,21,"Collier County, FL",2015,164330,155607,8723,5.3
CN1202300000000,12,23,"Columbia County, FL",2015,29089,27474,1615,5.6
CN1202700000000,12,27,"DeSoto County, FL",2015,13431,12643,788,5.9
CN1202900000000,12,29,"Dixie County, FL",2015,5609,5256,353,6.3
CN1203100000000,12,31,"Duval County, FL",2015,462381,435287,27094,5.9
CN1203300000000,12,33,"Escambia County, FL",2015,138671,130843,7828,5.6
CN1203500000000,12,35,"Flagler County, FL",2015,43845,41064,2781,6.3
CN1203700000000,12,37,"Franklin County, FL",2015,4791,4563,228,4.8
CN1203900000000,12,39,"Gadsden County, FL",2015,18285,16957,1328,7.3
CN1204100000000,12,41,"Gilchrist County, FL",2015,6524,6151,373,5.7
CN1204300000000,12,43,"Glades County, FL",2015,4729,4388,341,7.2
CN1204500000000,12,45,"Gulf County, FL",2015,6019,5699,320,5.3
CN1204700000000,12,47,"Hamilton County, FL",2015,4540,4243,297,6.5
CN1204900000000,12,49,"Hardee County, FL",2015,10131,9416,715,7.1
CN1205100000000,12,51,"Hendry County, FL",2015,15162,13535,1627,10.7
CN1205300000000,12,53,"Hernando County, FL",2015,66373,61707,4666,7
CN1205500000000,12,55,"Highlands County, FL",2015,35485,32799,2686,7.6
CN1205700000000,12,57,"Hillsborough County, FL",2015,692032,656690,35342,5.1
CN1205900000000,12,59,"Holmes County, FL",2015,6718,6301,417,6.2
CN1206100000000,12,61,"Indian River County, FL",2015,61460,57212,4248,6.9
CN1206300000000,12,63,"Jackson County, FL",2015,17379,16345,1034,5.9
CN1206500000000,12,65,"Jefferson County, FL",2015,5395,5071,324,6
CN1206700000000,12,67,"Lafayette County, FL",2015,3217,3068,149,4.6
CN1206900000000,12,69,"Lake County, FL",2015,141343,133475,7868,5.6
CN1207100000000,12,71,"Lee County, FL",2015,320586,303892,16694,5.2
CN1207300000000,12,73,"Leon County, FL",2015,148125,140607,7518,5.1
CN1207500000000,12,75,"Levy County, FL",2015,16510,15547,963,5.8
CN1207700000000,12,77,"Liberty County, FL",2015,2648,2491,157,5.9
CN1207900000000,12,79,"Madison County, FL",2015,7504,7039,465,6.2
CN1208100000000,12,81,"Manatee County, FL",2015,165527,157051,8476,5.1
CN1208300000000,12,83,"Marion County, FL",2015,130698,122131,8567,6.6
CN1208500000000,12,85,"Martin County, FL",2015,69769,65987,3782,5.4
CN1208600000000,12,86,"Miami-Dade County, FL",2015,1295273,1215857,79416,6.1
CN1208700000000,12,87,"Monroe County, FL",2015,45948,44332,1616,3.5
CN1208900000000,12,89,"Nassau County, FL",2015,36703,34798,1905,5.2
CN1209100000000,12,91,"Okaloosa County, FL",2015,92079,87870,4209,4.6
CN1209300000000,12,93,"Okeechobee County, FL",2015,17318,16216,1102,6.4
CN1209500000000,12,95,"Orange County, FL",2015,688737,653788,34949,5.1
CN1209700000000,12,97,"Osceola County, FL",2015,157892,148689,9203,5.8
CN1209900000000,12,99,"Palm Beach County, FL",2015,693582,657771,35811,5.2
CN1210100000000,12,101,"Pasco County, FL",2015,216242,203402,12840,5.9
CN1210300000000,12,103,"Pinellas County, FL",2015,472466,448842,23624,5
CN1210500000000,12,105,"Polk County, FL",2015,281059,263119,17940,6.4
CN1210700000000,12,107,"Putnam County, FL",2015,27376,25266,2110,7.7
CN1210900000000,12,109,"St. Johns County, FL",2015,113798,109271,4527,4
CN1211100000000,12,111,"St. Lucie County, FL",2015,131823,123346,8477,6.4
CN1211300000000,12,113,"Santa Rosa County, FL",2015,74246,70622,3624,4.9
CN1211500000000,12,115,"Sarasota County, FL",2015,178504,169363,9141,5.1
CN1211700000000,12,117,"Seminole County, FL",2015,237549,225741,11808,5
CN1211900000000,12,119,"Sumter County, FL",2015,28750,26518,2232,7.8
CN1212100000000,12,121,"Suwannee County, FL",2015,18005,17014,991,5.5
CN1212300000000,12,123,"Taylor County, FL",2015,9015,8404,611,6.8
CN1212500000000,12,125,"Union County, FL",2015,4753,4520,233,4.9
CN1212700000000,12,127,"Volusia County, FL",2015,239604,225449,14155,5.9
CN1212900000000,12,129,"Wakulla County, FL",2015,14013,13353,660,4.7
CN1213100000000,12,131,"Walton County, FL",2015,27949,26623,1326,4.7
CN1213300000000,12,133,"Washington County, FL",2015,9648,9068,580,6
CN1300100000000,13,1,"Appling County, GA",2015,8578,7940,638,7.4
CN1300300000000,13,3,"Atkinson County, GA",2015,3821,3598,223,5.8
CN1300500000000,13,5,"Bacon County, GA",2015,4840,4557,283,5.8
CN1300700000000,13,7,"Baker County, GA",2015,1111,1029,82,7.4
CN1300900000000,13,9,"Baldwin County, GA",2015,17554,16186,1368,7.8
CN1301100000000,13,11,"Banks County, GA",2015,8127,7666,461,5.7
CN1301300000000,13,13,"Barrow County, GA",2015,35704,33793,1911,5.4
CN1301500000000,13,15,"Bartow County, GA",2015,46322,43548,2774,6
CN1301700000000,13,17,"Ben Hill County, GA",2015,5418,4922,496,9.2
CN1301900000000,13,19,"Berrien County, GA",2015,6966,6458,508,7.3
CN1302100000000,13,21,"Bibb County, GA",2015,67167,62617,4550,6.8
CN1302300000000,13,23,"Bleckley County, GA",2015,4323,3948,375,8.7
CN1302500000000,13,25,"Brantley County, GA",2015,6830,6311,519,7.6
CN1302700000000,13,27,"Brooks County, GA",2015,6805,6386,419,6.2
CN1302900000000,13,29,"Bryan County, GA",2015,15962,15109,853,5.3
CN1303100000000,13,31,"Bulloch County, GA",2015,34344,32226,2118,6.2
CN1303300000000,13,33,"Burke County, GA",2015,9031,8285,746,8.3
CN1303500000000,13,35,"Butts County, GA",2015,10012,9335,677,6.8
CN1303700000000,13,37,"Calhoun County, GA",2015,2105,1972,133,6.3
CN1303900000000,13,39,"Camden County, GA",2015,22048,20804,1244,5.6
CN1304300000000,13,43,"Candler County, GA",2015,4910,4626,284,5.8
CN1304500000000,13,45,"Carroll County, GA",2015,51208,47706,3502,6.8
CN1304700000000,13,47,"Catoosa County, GA",2015,31012,29364,1648,5.3
CN1304900000000,13,49,"Charlton County, GA",2015,4713,4407,306,6.5
CN1305100000000,13,51,"Chatham County, GA",2015,131745,123904,7841,6
CN1305300000000,13,53,"Chattahoochee County, GA",2015,2087,1901,186,8.9
CN1305500000000,13,55,"Chattooga County, GA",2015,10432,9777,655,6.3
CN1305700000000,13,57,"Cherokee County, GA",2015,118953,113293,5660,4.8
CN1305900000000,13,59,"Clarke County, GA",2015,56485,52987,3498,6.2
CN1306100000000,13,61,"Clay County, GA",2015,851,749,102,12
CN1306300000000,13,63,"Clayton County, GA",2015,124988,115296,9692,7.8
CN1306500000000,13,65,"Clinch County, GA",2015,2742,2546,196,7.1
CN1306700000000,13,67,"Cobb County, GA",2015,393682,373383,20299,5.2
CN1306900000000,13,69,"Coffee County, GA",2015,17096,15926,1170,6.8
CN1307100000000,13,71,"Colquitt County, GA",2015,19823,18535,1288,6.5
CN1307300000000,13,73,"Columbia County, GA",2015,67851,64390,3461,5.1
CN1307500000000,13,75,"Cook County, GA",2015,7206,6716,490,6.8
CN1307700000000,13,77,"Coweta County, GA",2015,67073,63448,3625,5.4
CN1307900000000,13,79,"Crawford County, GA",2015,5514,5160,354,6.4
CN1308100000000,13,81,"Crisp County, GA",2015,9320,8671,649,7
CN1308300000000,13,83,"Dade County, GA",2015,7761,7329,432,5.6
CN1308500000000,13,85,"Dawson County, GA",2015,10818,10256,562,5.2
CN1308700000000,13,87,"Decatur County, GA",2015,11265,10486,779,6.9
CN1308900000000,13,89,"DeKalb County, GA",2015,368863,346210,22653,6.1
CN1309100000000,13,91,"Dodge County, GA",2015,6881,6295,586,8.5
CN1309300000000,13,93,"Dooly County, GA",2015,4705,4344,361,7.7
CN1309500000000,13,95,"Dougherty County, GA",2015,37460,34519,2941,7.9
CN1309700000000,13,97,"Douglas County, GA",2015,67568,63209,4359,6.5
CN1309900000000,13,99,"Early County, GA",2015,4309,4005,304,7.1
CN1310100000000,13,101,"Echols County, GA",2015,1844,1756,88,4.8
CN1310300000000,13,103,"Effingham County, GA",2015,26854,25458,1396,5.2
CN1310500000000,13,105,"Elbert County, GA",2015,7529,6960,569,7.6
CN1310700000000,13,107,"Emanuel County, GA",2015,8227,7495,732,8.9
CN1310900000000,13,109,"Evans County, GA",2015,4610,4348,262,5.7
CN1311100000000,13,111,"Fannin County, GA",2015,9999,9369,630,6.3
CN1311300000000,13,113,"Fayette County, GA",2015,53538,50712,2826,5.3
CN1311500000000,13,115,"Floyd County, GA",2015,42497,39611,2886,6.8
CN1311700000000,13,117,"Forsyth County, GA",2015,103197,98435,4762,4.6
CN1311900000000,13,119,"Franklin County, GA",2015,9180,8594,586,6.4
CN1312100000000,13,121,"Fulton County, GA",2015,508815,477884,30931,6.1
CN1312300000000,13,123,"Gilmer County, GA",2015,11589,10877,712,6.1
CN1312500000000,13,125,"Glascock County, GA",2015,1219,1137,82,6.7
CN1312700000000,13,127,"Glynn County, GA",2015,37264,34962,2302,6.2
CN1312900000000,13,129,"Gordon County, GA",2015,25856,24302,1554,6
CN1313100000000,13,131,"Grady County, GA",2015,10304,9673,631,6.1
CN1313300000000,13,133,"Greene County, GA",2015,6751,6296,455,6.7
CN1313500000000,13,135,"Gwinnett County, GA",2015,447227,423631,23596,5.3
CN1313700000000,13,137,"Habersham County, GA",2015,18602,17519,1083,5.8
CN1313900000000,13,139,"Hall County, GA",2015,91705,87171,4534,4.9
CN1314100000000,13,141,"Hancock County, GA",2015,2461,2216,245,10
CN1314300000000,13,143,"Haralson County, GA",2015,11736,10955,781,6.7
CN1314500000000,13,145,"Harris County, GA",2015,15520,14692,828,5.3
CN1314700000000,13,147,"Hart County, GA",2015,10284,9635,649,6.3
CN1314900000000,13,149,"Heard County, GA",2015,4856,4539,317,6.5
CN1315100000000,13,151,"Henry County, GA",2015,103843,97333,6510,6.3
CN1315300000000,13,153,"Houston County, GA",2015,64936,61086,3850,5.9
CN1315500000000,13,155,"Irwin County, GA",2015,3100,2836,264,8.5
CN1315700000000,13,157,"Jackson County, GA",2015,30386,28890,1496,4.9
CN1315900000000,13,159,"Jasper County, GA",2015,6367,6010,357,5.6
CN1316100000000,13,161,"Jeff Davis County, GA",2015,6272,5847,425,6.8
CN1316300000000,13,163,"Jefferson County, GA",2015,6298,5719,579,9.2
CN1316500000000,13,165,"Jenkins County, GA",2015,3071,2811,260,8.5
CN1316700000000,13,167,"Johnson County, GA",2015,3829,3556,273,7.1
CN1316900000000,13,169,"Jones County, GA",2015,13322,12574,748,5.6
CN1317100000000,13,171,"Lamar County, GA",2015,7597,7003,594,7.8
CN1317300000000,13,173,"Lanier County, GA",2015,3740,3486,254,6.8
CN1317500000000,13,175,"Laurens County, GA",2015,18434,17018,1416,7.7
CN1317700000000,13,177,"Lee County, GA",2015,13967,13211,756,5.4
CN1317900000000,13,179,"Liberty County, GA",2015,24690,23103,1587,6.4
CN1318100000000,13,181,"Lincoln County, GA",2015,3327,3099,228,6.9
CN1318300000000,13,183,"Long County, GA",2015,7005,6587,418,6
CN1318500000000,13,185,"Lowndes County, GA",2015,49790,46796,2994,6
CN1318700000000,13,187,"Lumpkin County, GA",2015,15145,14312,833,5.5
CN1318900000000,13,189,"McDuffie County, GA",2015,8690,7954,736,8.5
CN1319100000000,13,191,"McIntosh County, GA",2015,5753,5373,380,6.6
CN1319300000000,13,193,"Macon County, GA",2015,4567,4140,427,9.3
CN1319500000000,13,195,"Madison County, GA",2015,12481,11776,705,5.6
CN1319700000000,13,197,"Marion County, GA",2015,3407,3115,292,8.6
CN1319900000000,13,199,"Meriwether County, GA",2015,8576,7877,699,8.2
CN1320100000000,13,201,"Miller County, GA",2015,2639,2494,145,5.5
CN1320500000000,13,205,"Mitchell County, GA",2015,8619,8029,590,6.8
CN1320700000000,13,207,"Monroe County, GA",2015,12526,11784,742,5.9
CN1320900000000,13,209,"Montgomery County, GA",2015,3671,3347,324,8.8
CN1321100000000,13,211,"Morgan County, GA",2015,8324,7860,464,5.6
CN1321300000000,13,213,"Murray County, GA",2015,15891,14700,1191,7.5
CN1321500000000,13,215,"Muscogee County, GA",2015,78024,72100,5924,7.6
CN1321700000000,13,217,"Newton County, GA",2015,47891,44597,3294,6.9
CN1321900000000,13,219,"Oconee County, GA",2015,17385,16602,783,4.5
CN1322100000000,13,221,"Oglethorpe County, GA",2015,6650,6275,375,5.6
CN1322300000000,13,223,"Paulding County, GA",2015,75454,71460,3994,5.3
CN1322500000000,13,225,"Peach County, GA",2015,11163,10263,900,8.1
CN1322700000000,13,227,"Pickens County, GA",2015,13716,12972,744,5.4
CN1322900000000,13,229,"Pierce County, GA",2015,7954,7449,505,6.3
CN1323100000000,13,231,"Pike County, GA",2015,8134,7660,474,5.8
CN1323300000000,13,233,"Polk County, GA",2015,17945,16736,1209,6.7
CN1323500000000,13,235,"Pulaski County, GA",2015,3968,3702,266,6.7
CN1323700000000,13,237,"Putnam County, GA",2015,7716,7082,634,8.2
CN1323900000000,13,239,"Quitman County, GA",2015,807,751,56,6.9
CN1324100000000,13,241,"Rabun County, GA",2015,6430,5991,439,6.8
CN1324300000000,13,243,"Randolph County, GA",2015,2399,2177,222,9.3
CN1324500000000,13,245,"Richmond County, GA",2015,83351,77071,6280,7.5
CN1324700000000,13,247,"Rockdale County, GA",2015,41793,39019,2774,6.6
CN1324900000000,13,249,"Schley County, GA",2015,2086,1945,141,6.8
CN1325100000000,13,251,"Screven County, GA",2015,4986,4564,422,8.5
CN1325300000000,13,253,"Seminole County, GA",2015,3057,2805,252,8.2
CN1325500000000,13,255,"Spalding County, GA",2015,26814,24620,2194,8.2
CN1325700000000,13,257,"Stephens County, GA",2015,10739,10025,714,6.6
CN1325900000000,13,259,"Stewart County, GA",2015,2091,1944,147,7
CN1326100000000,13,261,"Sumter County, GA",2015,12692,11618,1074,8.5
CN1326300000000,13,263,"Talbot County, GA",2015,2667,2457,210,7.9
CN1326500000000,13,265,"Taliaferro County, GA",2015,587,540,47,8
CN1326700000000,13,267,"Tattnall County, GA",2015,9171,8596,575,6.3
CN1326900000000,13,269,"Taylor County, GA",2015,2743,2487,256,9.3
CN1327100000000,13,271,"Telfair County, GA",2015,4772,4350,422,8.8
CN1327300000000,13,273,"Terrell County, GA",2015,3590,3318,272,7.6
CN1327500000000,13,275,"Thomas County, GA",2015,16626,15403,1223,7.4
CN1327700000000,13,277,"Tift County, GA",2015,18137,17009,1128,6.2
CN1327900000000,13,279,"Toombs County, GA",2015,11735,10693,1042,8.9
CN1328100000000,13,281,"Towns County, GA",2015,3873,3562,311,8
CN1328300000000,13,283,"Treutlen County, GA",2015,2671,2440,231,8.6
CN1328500000000,13,285,"Troup County, GA",2015,35191,33016,2175,6.2
CN1328700000000,13,287,"Turner County, GA",2015,3157,2939,218,6.9
CN1328900000000,13,289,"Twiggs County, GA",2015,2933,2661,272,9.3
CN1329100000000,13,291,"Union County, GA",2015,9719,9190,529,5.4
CN1329300000000,13,293,"Upson County, GA",2015,11006,10195,811,7.4
CN1329500000000,13,295,"Walker County, GA",2015,29064,27298,1766,6.1
CN1329700000000,13,297,"Walton County, GA",2015,41195,38928,2267,5.5
CN1329900000000,13,299,"Ware County, GA",2015,14324,13375,949,6.6
CN1330100000000,13,301,"Warren County, GA",2015,2610,2403,207,7.9
CN1330300000000,13,303,"Washington County, GA",2015,7117,6611,506,7.1
CN1330500000000,13,305,"Wayne County, GA",2015,11439,10596,843,7.4
CN1330700000000,13,307,"Webster County, GA",2015,957,866,91,9.5
CN1330900000000,13,309,"Wheeler County, GA",2015,1676,1491,185,11
CN1331100000000,13,311,"White County, GA",2015,13625,12906,719,5.3
CN1331300000000,13,313,"Whitfield County, GA",2015,45084,42154,2930,6.5
CN1331500000000,13,315,"Wilcox County, GA",2015,2713,2496,217,8
CN1331700000000,13,317,"Wilkes County, GA",2015,3847,3564,283,7.4
CN1331900000000,13,319,"Wilkinson County, GA",2015,3563,3298,265,7.4
CN1332100000000,13,321,"Worth County, GA",2015,8744,8168,576,6.6
CN1500100000000,15,1,"Hawaii County, HI",2015,89418,85690,3728,4.2
CN1500300000000,15,3,"Honolulu County/city, HI",2015,460605,445679,14926,3.2
CN1500700000000,15,7,"Kauai County, HI",2015,35836,34485,1351,3.8
CN1500900000000,15,9,"Maui County, HI",2015,84736,81762,2974,3.5
CN1600100000000,16,1,"Ada County, ID",2015,217455,210124,7331,3.4
CN1600300000000,16,3,"Adams County, ID",2015,1712,1591,121,7.1
CN1600500000000,16,5,"Bannock County, ID",2015,41928,40372,1556,3.7
CN1600700000000,16,7,"Bear Lake County, ID",2015,2832,2714,118,4.2
CN1600900000000,16,9,"Benewah County, ID",2015,4031,3786,245,6.1
CN1601100000000,16,11,"Bingham County, ID",2015,22072,21234,838,3.8
CN1601300000000,16,13,"Blaine County, ID",2015,11839,11449,390,3.3
CN1601500000000,16,15,"Boise County, ID",2015,3049,2870,179,5.9
CN1601700000000,16,17,"Bonner County, ID",2015,18517,17493,1024,5.5
CN1601900000000,16,19,"Bonneville County, ID",2015,51063,49414,1649,3.2
CN1602100000000,16,21,"Boundary County, ID",2015,5089,4829,260,5.1
CN1602300000000,16,23,"Butte County, ID",2015,1278,1224,54,4.2
CN1602500000000,16,25,"Camas County, ID",2015,649,628,21,3.2
CN1602700000000,16,27,"Canyon County, ID",2015,91002,86781,4221,4.6
CN1602900000000,16,29,"Caribou County, ID",2015,3768,3624,144,3.8
CN1603100000000,16,31,"Cassia County, ID",2015,11476,11120,356,3.1
CN1603300000000,16,33,"Clark County, ID",2015,396,382,14,3.5
CN1603500000000,16,35,"Clearwater County, ID",2015,3078,2848,230,7.5
CN1603700000000,16,37,"Custer County, ID",2015,2127,1996,131,6.2
CN1603900000000,16,39,"Elmore County, ID",2015,10745,10274,471,4.4
CN1604100000000,16,41,"Franklin County, ID",2015,6461,6274,187,2.9
CN1604300000000,16,43,"Fremont County, ID",2015,7185,6943,242,3.4
CN1604500000000,16,45,"Gem County, ID",2015,7532,7164,368,4.9
CN1604700000000,16,47,"Gooding County, ID",2015,7988,7731,257,3.2
CN1604900000000,16,49,"Idaho County, ID",2015,6392,6023,369,5.8
CN1605100000000,16,51,"Jefferson County, ID",2015,12484,12089,395,3.2
CN1605300000000,16,53,"Jerome County, ID",2015,11347,10999,348,3.1
CN1605500000000,16,55,"Kootenai County, ID",2015,71601,68225,3376,4.7
CN1605700000000,16,57,"Latah County, ID",2015,19499,18875,624,3.2
CN1605900000000,16,59,"Lemhi County, ID",2015,3373,3153,220,6.5
CN1606100000000,16,61,"Lewis County, ID",2015,1590,1506,84,5.3
CN1606300000000,16,63,"Lincoln County, ID",2015,2642,2531,111,4.2
CN1606500000000,16,65,"Madison County, ID",2015,19808,19315,493,2.5
CN1606700000000,16,67,"Minidoka County, ID",2015,10698,10333,365,3.4
CN1606900000000,16,69,"Nez Perce County, ID",2015,20641,19932,709,3.4
CN1607100000000,16,71,"Oneida County, ID",2015,2129,2059,70,3.3
CN1607300000000,16,73,"Owyhee County, ID",2015,5215,4983,232,4.4
CN1607500000000,16,75,"Payette County, ID",2015,11101,10589,512,4.6
CN1607700000000,16,77,"Power County, ID",2015,3877,3710,167,4.3
CN1607900000000,16,79,"Shoshone County, ID",2015,5115,4746,369,7.2
CN1608100000000,16,81,"Teton County, ID",2015,5830,5644,186,3.2
CN1608300000000,16,83,"Twin Falls County, ID",2015,39060,37719,1341,3.4
CN1608500000000,16,85,"Valley County, ID",2015,4787,4514,273,5.7
CN1608700000000,16,87,"Washington County, ID",2015,4563,4316,247,5.4
CN1700100000000,17,1,"Adams County, IL",2015,32579,30956,1623,5
CN1700300000000,17,3,"Alexander County, IL",2015,2297,2086,211,9.2
CN1700500000000,17,5,"Bond County, IL",2015,7795,7381,414,5.3
CN1700700000000,17,7,"Boone County, IL",2015,26343,24621,1722,6.5
